#: table_doi: 10.17182/hepdata.62520.v1/t1
#: name: Table 1
#: description: Invariant yields of identified pions in central and peripheral Pb-Pb collisions, together with the unscaled pp reference yields.

#: data_file: Table1.yaml
#: keyword reactions: PB PB --> PI+ X | PB PB --> PI- X | P P --> PI+ X | P P --> PI- X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: CENTRALITY,,,0 TO 5 pct
#: ETARAP,,,-0.8-0.8
#: RE,,,PB PB --> (PI+ + PI-) X
#: SQRT(S)/NUCLEON [GeV],,,2760.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,1/(Nev*2*PI*PT)*D2(N)/DPT/DYRAP [GEV**-2],stat +,stat -,sys +,sys -
0.11,0.1,0.12,3047.0,17.2,-17.2,409.7,-409.7
0.13,0.12,0.14,2769.0,11.21,-11.21,349.1,-349.1
0.15000000000000002,0.14,0.16,2487.0,8.736,-8.736,312.6,-312.6
0.16999999999999998,0.16,0.18,2229.0,7.046,-7.046,279.7,-279.7
0.19,0.18,0.2,2017.0,5.951,-5.951,253.2,-253.2
0.225,0.2,0.25,1607.0,2.236,-2.236,120.1,-120.1
0.275,0.25,0.3,1235.0,1.706,-1.706,92.6,-92.6
0.32499999999999996,0.3,0.35,964.8,1.377,-1.377,75.15,-75.15
0.375,0.35,0.4,760.7,1.123,-1.123,54.95,-54.95
0.42500000000000004,0.4,0.45,606.1,0.9475,-0.9475,42.7,-42.7
0.475,0.45,0.5,482.8,0.8064,-0.8064,33.42,-33.42
0.525,0.5,0.55,388.1,0.6945,-0.6945,19.68,-19.68
0.575,0.55,0.6,315.9,0.6055,-0.6055,15.32,-15.32
0.625,0.6,0.65,259.6,0.5729,-0.5729,13.18,-13.18
0.675,0.65,0.7,213.9,0.5078,-0.5078,11.04,-11.04
0.725,0.7,0.75,176.0,0.447,-0.447,9.058,-9.058
0.775,0.75,0.8,147.0,0.4086,-0.4086,7.722,-7.722
0.825,0.8,0.85,122.2,0.3778,-0.3778,6.433,-6.433
0.875,0.85,0.9,102.1,0.3258,-0.3258,5.476,-5.476
0.925,0.9,0.95,86.24,0.3112,-0.3112,4.659,-4.659
0.975,0.95,1.0,72.84,0.2843,-0.2843,3.874,-3.874
1.05,1.0,1.1,56.13,0.1673,-0.1673,3.096,-3.096
1.15,1.1,1.2,40.2,0.1353,-0.1353,2.195,-2.195
1.25,1.2,1.3,29.49,0.09485,-0.09485,1.786,-1.786
1.35,1.3,1.4,21.49,0.0781,-0.0781,1.308,-1.308
1.45,1.4,1.5,15.46,0.05926,-0.05926,0.9485,-0.9485
1.55,1.5,1.6,11.31,0.0458,-0.0458,0.676,-0.676
1.65,1.6,1.7,8.319,0.04099,-0.04099,0.5037,-0.5037
1.75,1.7,1.8,6.176,0.02931,-0.02931,0.3789,-0.3789
1.85,1.8,1.9,4.572,0.02388,-0.02388,0.2862,-0.2862
1.95,1.9,2.0,3.455,0.02491,-0.02491,0.2207,-0.2207
2.05,2.0,2.1,2.592,0.01883,-0.01883,0.1687,-0.1687
2.1500000000000004,2.1,2.2,1.954,0.01678,-0.01678,0.1289,-0.1289
2.25,2.2,2.3,1.477,0.01078,-0.01078,0.09926,-0.09926
2.3499999999999996,2.3,2.4,1.154,0.008809,-0.008809,0.07908,-0.07908
2.45,2.4,2.5,0.8785,0.01068,-0.01068,0.06094,-0.06094
2.55,2.5,2.6,0.6725,0.0078,-0.0078,0.04703,-0.04703
2.6500000000000004,2.6,2.7,0.5316,0.00731,-0.00731,0.03726,-0.03726
2.75,2.7,2.8,0.4162,0.004125,-0.004125,0.02937,-0.02937
2.8499999999999996,2.8,2.9,0.3318,0.002965,-0.002965,0.02385,-0.02385
2.95,2.9,3.0,0.2606,0.003059,-0.003059,0.01899,-0.01899
3.1,3.0,3.2,0.1809,0.0005707,-0.0005707,0.01252,-0.01252
3.3,3.2,3.4,0.1139,0.0004266,-0.0004266,0.007616,-0.007616
3.5,3.4,3.6,0.07505,0.000304,-0.000304,0.005135,-0.005135
3.7,3.6,3.8,0.05089,0.0002328,-0.0002328,0.003464,-0.003464
3.9,3.8,4.0,0.03483,0.0001689,-0.0001689,0.002448,-0.002448
4.25,4.0,4.5,0.01865,8.574e-05,-8.574e-05,0.001672,-0.001672
4.75,4.5,5.0,0.008399,4.677e-05,-4.677e-05,0.0007567,-0.0007567
5.25,5.0,5.5,0.004204,2.897e-05,-2.897e-05,0.0003796,-0.0003796
5.75,5.5,6.0,0.002322,1.968e-05,-1.968e-05,0.0002108,-0.0002108
6.25,6.0,6.5,0.001369,1.399e-05,-1.399e-05,0.0001255,-0.0001255
6.75,6.5,7.0,0.0008605,1.048e-05,-1.048e-05,7.862e-05,-7.862e-05
7.5,7.0,8.0,0.0004668,5.528e-06,-5.528e-06,4.292e-05,-4.292e-05
8.5,8.0,9.0,0.0002299,3.559e-06,-3.559e-06,2.11e-05,-2.11e-05
9.5,9.0,10.0,0.0001228,2.424e-06,-2.424e-06,1.127e-05,-1.127e-05
10.5,10.0,11.0,6.904e-05,1.71e-06,-1.71e-06,6.36e-06,-6.36e-06
11.5,11.0,12.0,4.116e-05,1.275e-06,-1.275e-06,3.8e-06,-3.8e-06
12.5,12.0,13.0,2.491e-05,9.361e-07,-9.361e-07,2.314e-06,-2.314e-06
13.5,13.0,14.0,1.652e-05,7.414e-07,-7.414e-07,1.538e-06,-1.538e-06
14.5,14.0,15.0,1.1e-05,5.624e-07,-5.624e-07,1.029e-06,-1.029e-06
