#: table_doi: 10.17182/hepdata.30758.v1/t1
#: name: Table 1
#: description: Invariant differential yields of PI0 produced in inelastic pp collisions at center-of-mass energy 2.76 TeV.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI0 X
#: keyword observables: DN/DPT**2/DYRAP
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: RE,,,P P --> PI0 X
#: SQRT(S) [GeV],,,2760.0
#: YRAP,,,0.0
PT [GEV/c],PT [GEV/c] LOW,PT [GEV/c] HIGH,1/(2*PI*Nevt)*(d**2N)/(PT*dPT*dY) [(GEV/c)**-2],stat +,stat -,sys +,sys -
0.49557,0.4,0.6,0.49173,0.0341692,-0.0341692,0.0597663,-0.0597663
0.694627,0.6,0.8,0.195603,0.00687339,-0.00687339,0.0218408,-0.0218408
0.894681,0.8,1.0,0.0826517,0.00176004,-0.00176004,0.00741274,-0.00741274
1.09496,1.0,1.2,0.0376864,0.000756355,-0.000756355,0.00298333,-0.00298333
1.29528,1.2,1.4,0.0196815,0.000387411,-0.000387411,0.00142302,-0.00142302
1.49559,1.4,1.6,0.0100357,0.00021047,-0.00021047,0.00068546,-0.00068546
1.69587,1.6,1.8,0.0055708,0.000129996,-0.000129996,0.000371238,-0.000371238
1.89613,1.8,2.0,0.00336858,8.8753e-05,-8.8753e-05,0.000217453,-0.000217453
2.09636,2.0,2.2,0.0020407,5.94544e-05,-5.94544e-05,0.000135806,-0.000135806
2.29657,2.2,2.4,0.00122355,3.99641e-05,-3.99641e-05,8.2903e-05,-8.2903e-05
2.49676,2.4,2.6,0.000839336,2.96054e-05,-2.96054e-05,5.63298e-05,-5.63298e-05
2.78804,2.6,3.0,0.000464584,1.36491e-05,-1.36491e-05,3.00246e-05,-3.00246e-05
3.23326,3.0,3.5,0.000192168,6.71023e-06,-6.71023e-06,1.2585e-05,-1.2585e-05
3.735,3.5,4.0,7.15007e-05,3.62085e-06,-3.62085e-06,4.96362e-06,-4.96362e-06
4.44825,4.0,5.0,2.97515e-05,1.40676e-06,-1.40676e-06,1.94667e-06,-1.94667e-06
5.45616,5.0,6.0,8.40135e-06,6.44693e-07,-6.44693e-07,6.14516e-07,-6.14516e-07
6.85815,6.0,8.0,2.16343e-06,1.9989e-07,-1.9989e-07,1.56395e-07,-1.56395e-07
8.88633,8.0,10.0,3.29859e-07,8.25137e-08,-8.25137e-08,3.12459e-08,-3.12459e-08

