#: table_doi: 10.17182/hepdata.30758.v1/t2
#: name: Table 2
#: description: Invariant differential cross section of PI0 produced in inelastic pp collisions at center-of-mass energy 2.76 TeV, the uncertainty of \sigma_{inel} of 3.9% is not included in the systematic error.

#: data_file: Table2.yaml
#: keyword reactions: P P --> PI0 X
#: keyword observables: E*D3SIG/D3P
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 2760.0
#: RE,,,P P --> PI0 X
#: SQRT(S) [GeV],,,2760.0
#: YRAP,,,0.0
PT [GEV/c],PT [GEV/c] LOW,PT [GEV/c] HIGH,E d**3sigma/dp**3 [(pb GEV**-2 c**3)],stat +,stat -,sys +,sys -
0.49557,0.4,0.6,30880600000.0,2145830000.0,-2145830000.0,3753330000.0,-3753330000.0
0.694627,0.6,0.8,12283900000.0,431649000.0,-431649000.0,1371600000.0,-1371600000.0
0.894681,0.8,1.0,5190530000.0,110531000.0,-110531000.0,465520000.0,-465520000.0
1.09496,1.0,1.2,2366710000.0,47499100.0,-47499100.0,187353000.0,-187353000.0
1.29528,1.2,1.4,1236000000.0,24329400.0,-24329400.0,89365900.0,-89365900.0
1.49559,1.4,1.6,630243000.0,13217500.0,-13217500.0,43046900.0,-43046900.0
1.69587,1.6,1.8,349846000.0,8163740.0,-8163740.0,23313700.0,-23313700.0
1.89613,1.8,2.0,211547000.0,5573690.0,-5573690.0,13656000.0,-13656000.0
2.09636,2.0,2.2,128156000.0,3733740.0,-3733740.0,8528650.0,-8528650.0
2.29657,2.2,2.4,76838900.0,2509750.0,-2509750.0,5206310.0,-5206310.0
2.49676,2.4,2.6,52710300.0,1859220.0,-1859220.0,3537510.0,-3537510.0
2.78804,2.6,3.0,29175900.0,857167.0,-857167.0,1885540.0,-1885540.0
3.23326,3.0,3.5,12068100.0,421402.0,-421402.0,790336.0,-790336.0
3.735,3.5,4.0,4490250.0,227390.0,-227390.0,311715.0,-311715.0
4.44825,4.0,5.0,1868400.0,88344.3,-88344.3,122251.0,-122251.0
5.45616,5.0,6.0,527605.0,40486.7,-40486.7,38591.6,-38591.6
6.85815,6.0,8.0,135863.0,12553.1,-12553.1,9821.62,-9821.62
8.88633,8.0,10.0,20715.2,5181.86,-5181.86,1962.24,-1962.24
10.902,10.0,12.0,9103.53,3004.91,-3004.91,829.778,-829.778

