#: table_doi: 10.17182/hepdata.77976.v1/t1
#: name: Table 1
#: description: Invariant differential yields of $\pi^0$ produced in inelastic pp collisions at center-of-mass energy 2.76 TeV, the normalization uncertainties of 5.7% are not included in the systematic error.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> PI0 X
#: keyword observables: DN/DPT**2/DYRAP
#: keyword phrases: 
#: keyword cmenergies: 2760.0
#: RE,,,P P --> PI0 X
#: YRAP,,,0.0
#: SQRT(S) [GEV],,,2760.0
$p_{\rm T}$ [GeV/$c$],$p_{\rm T}$ [GeV/$c$] LOW,$p_{\rm T}$ [GeV/$c$] HIGH,$1/(2 \pi N_{evt}) (d^2 N)/(p_{\rm T} dp_{\rm T} dy)$ [$(\text{GeV}/c)^{-2}$],stat +,stat -,sys +,sys -
0.4945,0.4,0.6,0.4995,0.0371,-0.0371,0.0532,-0.0532
0.6939,0.6,0.8,0.20481,0.00694,-0.00694,0.02004,-0.02004
0.8941,0.8,1.0,0.08583,0.00261,-0.00261,0.0072,-0.0072
1.0945,1.0,1.2,0.039834,0.000898,-0.000898,0.002704,-0.002704
1.2949,1.2,1.4,0.02064,0.000425,-0.000425,0.000919,-0.000919
1.4953,1.4,1.6,0.010678,0.000188,-0.000188,0.000597,-0.000597
1.6956,1.6,1.8,0.006004,0.000103,-0.000103,0.000314,-0.000314
1.8959,1.8,2.0,0.0035051,6.47e-05,-6.47e-05,0.0001732,-0.0001732
2.0962,2.0,2.2,0.0021349,4.49e-05,-4.49e-05,0.0001024,-0.0001024
2.2964,2.2,2.4,0.0013202,2.89e-05,-2.89e-05,6.28e-05,-6.28e-05
2.4966,2.4,2.6,0.0008709,2.09e-05,-2.09e-05,4.01e-05,-4.01e-05
2.7875,2.6,3.0,0.00048024,9.91e-06,-9.91e-06,2.14e-05,-2.14e-05
3.2326,3.0,3.5,0.00019621,4.32e-06,-4.32e-06,9.14e-06,-9.14e-06
3.7345,3.5,4.0,8.003e-05,2.35e-06,-2.35e-06,3.74e-06,-3.74e-06
4.4467,4.0,5.0,2.9034e-05,7.3e-07,-7.3e-07,1.421e-06,-1.421e-06
5.455,5.0,6.0,7.675e-06,2.54e-07,-2.54e-07,4.52e-07,-4.52e-07
6.4611,6.0,7.0,2.672e-06,6.7e-08,-6.7e-08,2.368e-07,-2.368e-07
7.4657,7.0,8.0,1.0837e-06,2.99e-08,-2.99e-08,9.92e-08,-9.92e-08
8.4694,8.0,9.0,4.796e-07,1.54e-08,-1.54e-08,4.68e-08,-4.68e-08
9.4724,9.0,10.0,2.2873e-07,7.11e-09,-7.11e-09,2.41e-08,-2.41e-08
10.4748,10.0,11.0,1.2472e-07,5.14e-09,-5.14e-09,1.364e-08,-1.364e-08
11.4768,11.0,12.0,7.064e-08,3.14e-09,-3.14e-09,8.1e-09,-8.1e-09
12.9175,12.0,14.0,3.399e-08,1.41e-09,-1.41e-09,4.31e-09,-4.31e-09
14.9279,14.0,16.0,1.2369e-08,8.21e-10,-8.21e-10,1.848e-09,-1.848e-09
16.936,16.0,18.0,6.941e-09,3.87e-10,-3.87e-10,1.029e-09,-1.029e-09
19.7813,18.0,22.0,2.637e-09,1.26e-10,-1.26e-10,3.7e-10,-3.7e-10
23.8164,22.0,26.0,8.364e-10,6.21e-11,-6.21e-11,1.176e-10,-1.176e-10
27.8417,26.0,30.0,2.226e-10,2.69e-11,-2.69e-11,3.34e-11,-3.34e-11
32.2862,30.0,35.0,1.277e-10,1.53e-11,-1.53e-11,1.99e-11,-1.99e-11
37.314,35.0,40.0,4.598e-11,9.83e-12,-9.83e-12,8.08e-12,-8.08e-12

