#: table_doi: 10.17182/hepdata.77976.v1/t3
#: name: Table 3
#: description: Invariant differential cross section of $\pi^0$ produced in inelastic pp collisions at center-of-mass energy 2.76 TeV, the uncertainty of $\sigma_{MB}$ of 2.5% is not included in the systematic error.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> PI0 X
#: keyword observables: E*D3SIG/D3P
#: keyword phrases: 
#: keyword cmenergies: 2760.0
#: RE,,,P P --> PI0 X
#: YRAP,,,0.0
#: SQRT(S) [GEV],,,2760.0
$p_{\rm T}$ [GeV/$c$],$p_{\rm T}$ [GeV/$c$] LOW,$p_{\rm T}$ [GeV/$c$] HIGH,$E d^{3} \sigma/dp^3$ [$(\text{pb GeV}^{-2} c^{3})$],stat +,stat -,sys +,sys -
0.4945,0.4,0.6,31370000000.0,2330000000.0,-2330000000.0,3340000000.0,-3340000000.0
0.6939,0.6,0.8,12862000000.0,436000000.0,-436000000.0,1259000000.0,-1259000000.0
0.8941,0.8,1.0,5390000000.0,164000000.0,-164000000.0,452000000.0,-452000000.0
1.0945,1.0,1.2,2501600000.0,56400000.0,-56400000.0,169800000.0,-169800000.0
1.2949,1.2,1.4,1296200000.0,26700000.0,-26700000.0,57700000.0,-57700000.0
1.4953,1.4,1.6,670600000.0,11800000.0,-11800000.0,37500000.0,-37500000.0
1.6956,1.6,1.8,377040000.0,6460000.0,-6460000.0,19700000.0,-19700000.0
1.8959,1.8,2.0,220120000.0,4060000.0,-4060000.0,10880000.0,-10880000.0
2.0962,2.0,2.2,134070000.0,2820000.0,-2820000.0,6430000.0,-6430000.0
2.2964,2.2,2.4,82910000.0,1810000.0,-1810000.0,3950000.0,-3950000.0
2.4966,2.4,2.6,54690000.0,1310000.0,-1310000.0,2520000.0,-2520000.0
2.7875,2.6,3.0,30159000.0,622000.0,-622000.0,1344000.0,-1344000.0
3.2326,3.0,3.5,12322000.0,271000.0,-271000.0,574000.0,-574000.0
3.7345,3.5,4.0,5026000.0,147000.0,-147000.0,235000.0,-235000.0
4.4467,4.0,5.0,1823300.0,45800.0,-45800.0,89200.0,-89200.0
5.455,5.0,6.0,482000.0,16000.0,-16000.0,28400.0,-28400.0
6.4611,6.0,7.0,167800.0,4210.0,-4210.0,14870.0,-14870.0
7.4657,7.0,8.0,68060.0,1880.0,-1880.0,6230.0,-6230.0
8.4694,8.0,9.0,30116.0,970.0,-970.0,2939.0,-2939.0
9.4724,9.0,10.0,14365.0,447.0,-447.0,1513.0,-1513.0
10.4748,10.0,11.0,7832.0,323.0,-323.0,856.0,-856.0
11.4768,11.0,12.0,4436.0,197.0,-197.0,509.0,-509.0
12.9175,12.0,14.0,2134.7,88.5,-88.5,270.8,-270.8
14.9279,14.0,16.0,776.8,51.6,-51.6,116.0,-116.0
16.936,16.0,18.0,435.9,24.3,-24.3,64.6,-64.6
19.7813,18.0,22.0,165.61,7.91,-7.91,23.24,-23.24
23.8164,22.0,26.0,52.52,3.9,-3.9,7.39,-7.39
27.8417,26.0,30.0,13.98,1.69,-1.69,2.1,-2.1
32.2862,30.0,35.0,8.02,0.958,-0.958,1.248,-1.248
37.314,35.0,40.0,2.888,0.617,-0.617,0.508,-0.508

