#: table_doi: 10.17182/hepdata.68129.v1/t1
#: name: Table 1
#: description: Combined transverse momentum spectra of PI, K and P, sum of particles and antiparticles, measured at mid-rapidity in pp collisions at SQRT(S) = 7 TeV normalized to the number of inelastic collisions. Statistical and systematic uncertainties are reported. The uncertainty due to the normalization to inelastic collisions (+7-4 %) is not included.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X | P P --> K+ X | P P --> K- X | P P --> P X | P P --> PBAR X
#: keyword observables: D2N/DYRAP/DPT
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering | Strange Production
#: keyword cmenergies: 7000.0
#: ABS(YRAP),,,< 0.5
#: RE,,,P P --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,7000.0
PT [GEV/C],PT [GEV/C] LOW,PT [GEV/C] HIGH,(1/Ninel)*D2(N)/DYRAP/DPT [GEV/C**-1],stat +,stat -,sys +,sys -
0.11,0.1,0.12,8.0414,0.0062,-0.0062,0.5399,-0.5399
0.13,0.12,0.14,8.4742,0.0049,-0.0049,0.4077,-0.4077
0.15000000000000002,0.14,0.16,8.7642,0.0047,-0.0047,0.4126,-0.4126
0.16999999999999998,0.16,0.18,8.8227,0.0045,-0.0045,0.4118,-0.4118
0.19,0.18,0.2,8.7028,0.0043,-0.0043,0.4074,-0.4074
0.225,0.2,0.25,8.1833,0.0025,-0.0025,0.3822,-0.3822
0.275,0.25,0.3,7.3833,0.0025,-0.0025,0.2292,-0.2292
0.32499999999999996,0.3,0.35,6.4552,0.0022,-0.0022,0.1953,-0.1953
0.375,0.35,0.4,5.5804,0.002,-0.002,0.1669,-0.1669
0.42500000000000004,0.4,0.45,4.7945,0.0018,-0.0018,0.1424,-0.1424
0.475,0.45,0.5,4.0869,0.0017,-0.0017,0.1209,-0.1209
0.525,0.5,0.55,3.4942,0.0016,-0.0016,0.1033,-0.1033
0.575,0.55,0.6,2.9838,0.0015,-0.0015,0.0888,-0.0888
0.625,0.6,0.65,2.6681,0.0031,-0.0031,0.1296,-0.1296
0.675,0.65,0.7,2.2817,0.003,-0.003,0.1109,-0.1109
0.725,0.7,0.75,1.9632,0.0028,-0.0028,0.0956,-0.0956
0.775,0.75,0.8,1.6974,0.0024,-0.0024,0.0828,-0.0828
0.825,0.8,0.85,1.4669,0.0025,-0.0025,0.0715,-0.0715
0.875,0.85,0.9,1.2771,0.0023,-0.0023,0.0622,-0.0622
0.925,0.9,0.95,1.1125,0.0022,-0.0022,0.0543,-0.0543
0.975,0.95,1.0,0.9742,0.0021,-0.0021,0.0474,-0.0474
1.05,1.0,1.1,0.7969,0.0013,-0.0013,0.0389,-0.0389
1.15,1.1,1.2,0.619,0.0011,-0.0011,0.0302,-0.0302
1.25,1.2,1.3,0.4859,0.001,-0.001,0.0238,-0.0238
1.35,1.3,1.4,0.38487,0.00091,-0.00091,0.0189,-0.0189
1.45,1.4,1.5,0.30772,0.00081,-0.00081,0.01519,-0.01519
1.55,1.5,1.6,0.24648,0.00066,-0.00066,0.0121,-0.0121
1.65,1.6,1.7,0.19993,0.00058,-0.00058,0.00994,-0.00994
1.75,1.7,1.8,0.16261,0.00051,-0.00051,0.00824,-0.00824
1.85,1.8,1.9,0.13309,0.00045,-0.00045,0.00692,-0.00692
1.95,1.9,2.0,0.10937,0.0004,-0.0004,0.00583,-0.00583
2.05,2.0,2.1,0.09054,0.00035,-0.00035,0.00495,-0.00495
2.1500000000000004,2.1,2.2,0.07512,0.00032,-0.00032,0.00411,-0.00411
2.25,2.2,2.3,0.06281,0.00028,-0.00028,0.00354,-0.00354
2.3499999999999996,2.3,2.4,0.05299,0.00026,-0.00026,0.00311,-0.00311
2.45,2.4,2.5,0.04512,0.00023,-0.00023,0.00279,-0.00279
2.55,2.5,2.6,0.03758,0.00034,-0.00034,0.00368,-0.00368
2.6500000000000004,2.6,2.7,0.0318,0.00031,-0.00031,0.00308,-0.00308
2.75,2.7,2.8,0.02706,0.00029,-0.00029,0.0026,-0.0026
2.8499999999999996,2.8,2.9,0.024,0.00027,-0.00027,0.00232,-0.00232
2.95,2.9,3.0,0.02025,0.00025,-0.00025,0.00207,-0.00207
3.1,3.0,3.2,-,0,0,0,0
3.3,3.2,3.4,-,0,0,0,0
3.5,3.4,3.6,-,0,0,0,0
3.7,3.6,3.8,-,0,0,0,0
3.9,3.8,4.0,-,0,0,0,0
4.1,4.0,4.2,-,0,0,0,0
4.300000000000001,4.2,4.4,-,0,0,0,0
4.5,4.4,4.6,-,0,0,0,0
4.699999999999999,4.6,4.8,-,0,0,0,0
4.9,4.8,5.0,-,0,0,0,0
5.25,5.0,5.5,-,0,0,0,0
5.75,5.5,6.0,-,0,0,0,0

#: ABS(YRAP),,,< 0.5
#: RE,,,P P --> (K+ + K-) X
#: SQRT(S) [GeV],,,7000.0
PT [GEV/C],PT [GEV/C] LOW,PT [GEV/C] HIGH,(1/Ninel)*D2(N)/DYRAP/DPT [GEV/C**-1],stat +,stat -,sys +,sys -
0.11,0.1,0.12,-,0,0,0,0
0.13,0.12,0.14,-,0,0,0,0
0.15000000000000002,0.14,0.16,-,0,0,0,0
0.16999999999999998,0.16,0.18,-,0,0,0,0
0.19,0.18,0.2,-,0,0,0,0
0.225,0.2,0.25,0.5318,0.0014,-0.0014,0.0392,-0.0392
0.275,0.25,0.3,0.5805,0.0012,-0.0012,0.0369,-0.0369
0.32499999999999996,0.3,0.35,0.6193,0.0011,-0.0011,0.0238,-0.0238
0.375,0.35,0.4,0.6187,0.0011,-0.0011,0.0215,-0.0215
0.42500000000000004,0.4,0.45,0.61034,0.00086,-0.00086,0.0254,-0.0254
0.475,0.45,0.5,0.60163,0.00079,-0.00079,0.02628,-0.02628
0.525,0.5,0.55,0.5754,0.001,-0.001,0.0261,-0.0261
0.575,0.55,0.6,0.5326,0.0011,-0.0011,0.0315,-0.0315
0.625,0.6,0.65,0.49179,0.00098,-0.00098,0.02991,-0.02991
