#: table_doi: 10.17182/hepdata.79044.v2/t1
#: name: Table 1
#: description: Invariant differential cross section of $\pi^0$ produced in inelastic pp collisions at center of mass energy 8 TeV, the uncertainty of $\sigma_{MB}$ of 2.6% is not included in the systematic error.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> PI0 X
#: keyword observables: E*D3SIG/D3P
#: keyword phrases: 
#: keyword cmenergies: 8000.0
#: RE,,,P P --> PI0 X
#: YRAP,,,0.0
#: SQRT(S) [GEV],,,8000.0
PT [GEV/c],PT [GEV/c] LOW,PT [GEV/c] HIGH,E d**3sigma/dp**3 [(pb GEV**-2 c**3)],stat +,stat -,sys +,sys -
0.3493,0.3,0.4,197900000000.0,37200000000.0,-37200000000.0,41700000000.0,-41700000000.0
0.4487,0.4,0.5,87420000000.0,6380000000.0,-6380000000.0,15260000000.0,-15260000000.0
0.5485,0.5,0.6,48610000000.0,1780000000.0,-1780000000.0,7380000000.0,-7380000000.0
0.6939,0.6,0.8,22210000000.0,368000000.0,-368000000.0,2903000000.0,-2903000000.0
0.8942,0.8,1.0,10034000000.0,344000000.0,-344000000.0,842000000.0,-842000000.0
1.0946,1.0,1.2,4673000000.0,117000000.0,-117000000.0,289000000.0,-289000000.0
1.2951,1.2,1.4,2370500000.0,50400000.0,-50400000.0,107900000.0,-107900000.0
1.4954,1.4,1.6,1258500000.0,25800000.0,-25800000.0,64300000.0,-64300000.0
1.6958,1.6,1.8,737600000.0,13700000.0,-13700000.0,36400000.0,-36400000.0
1.8961,1.8,2.0,429940000.0,7630000.0,-7630000.0,20790000.0,-20790000.0
2.0963,2.0,2.2,264270000.0,4530000.0,-4530000.0,12630000.0,-12630000.0
2.2965,2.2,2.4,173130000.0,2890000.0,-2890000.0,8260000.0,-8260000.0
2.4968,2.4,2.6,111970000.0,1880000.0,-1880000.0,5300000.0,-5300000.0
2.6969,2.6,2.8,76660000.0,1260000.0,-1260000.0,3630000.0,-3630000.0
2.8971,2.8,3.0,51142000.0,934000.0,-934000.0,2417000.0,-2417000.0
3.0972,3.0,3.2,35646000.0,675000.0,-675000.0,1679000.0,-1679000.0
3.2974,3.2,3.4,25223000.0,500000.0,-500000.0,1195000.0,-1195000.0
3.4975,3.4,3.6,18724000.0,396000.0,-396000.0,885000.0,-885000.0
3.6976,3.6,3.8,13831000.0,293000.0,-293000.0,658000.0,-658000.0
3.8977,3.8,4.0,9907000.0,232000.0,-232000.0,474000.0,-474000.0
4.2367,4.0,4.5,6252000.0,122000.0,-122000.0,300000.0,-300000.0
4.7379,4.5,5.0,3291100.0,72800.0,-72800.0,162300.0,-162300.0
5.2389,5.0,5.5,1847600.0,41100.0,-41100.0,93900.0,-93900.0
5.7397,5.5,6.0,1036300.0,21300.0,-21300.0,58400.0,-58400.0
6.2405,6.0,6.5,649900.0,13400.0,-13400.0,41600.0,-41600.0
6.7411,6.5,7.0,420800.0,8680.0,-8680.0,27190.0,-27190.0
7.2417,7.0,7.5,267930.0,5540.0,-5540.0,17440.0,-17440.0
7.7421,7.5,8.0,186000.0,3930.0,-3930.0,12240.0,-12240.0
8.2426,8.0,8.5,119830.0,2710.0,-2710.0,8130.0,-8130.0
8.743,8.5,9.0,84860.0,2070.0,-2070.0,5800.0,-5800.0
9.4739,9.0,10.0,53880.0,1090.0,-1090.0,3660.0,-3660.0
10.4763,10.0,11.0,30039.0,664.0,-664.0,2053.0,-2053.0
11.4782,11.0,12.0,17000.0,406.0,-406.0,1175.0,-1175.0
12.4798,12.0,13.0,9998.0,286.0,-286.0,702.0,-702.0
13.4812,13.0,14.0,6589.0,225.0,-225.0,473.0,-473.0
14.4825,14.0,15.0,4527.0,176.0,-176.0,334.0,-334.0
15.4836,15.0,16.0,3138.0,125.0,-125.0,238.0,-238.0
16.4845,16.0,17.0,1959.0,105.0,-105.0,156.0,-156.0
17.4854,17.0,18.0,1566.8,79.9,-79.9,130.6,-130.6
18.9459,18.0,20.0,909.5,48.8,-48.8,67.7,-67.7
20.9509,20.0,22.0,483.9,36.6,-36.6,48.5,-48.5
23.8276,22.0,26.0,173.7,17.8,-17.8,18.6,-18.6
27.8515,26.0,30.0,74.26,8.77,-8.77,8.91,-8.91
32.2994,30.0,35.0,30.79,4.26,-4.26,5.47,-5.47

