#: table_doi: 10.17182/hepdata.57568.v1/t1
#: name: Table 1
#: description: Transverse momentum spectra for positive and negative pions.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X
#: keyword observables: D2SIG/DPT/DYRAP
#: keyword phrases: Inclusive | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 900.0
#: RE,,,P P --> PI+ X
#: SQRT(S) [GeV],,,900.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/NEV)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.11,0.1,0.12,2.658354,0.034355,-0.034355,0.368345,-0.368345,3.6%,-3.6%
0.13,0.12,0.14,2.888623,0.031949,-0.031949,0.09928,-0.09928,3.6%,-3.6%
0.15000000000000002,0.14,0.16,3.064501,0.03253,-0.03253,0.093292,-0.093292,3.6%,-3.6%
0.16999999999999998,0.16,0.18,2.9925,0.029677,-0.029677,0.069068,-0.069068,3.6%,-3.6%
0.19,0.18,0.2,3.115569,0.030266,-0.030266,0.070011,-0.070011,3.6%,-3.6%
0.225,0.2,0.25,2.977894,0.020327,-0.020327,0.059972,-0.059972,3.6%,-3.6%
0.275,0.25,0.3,2.673851,0.01895,-0.01895,0.055397,-0.055397,3.6%,-3.6%
0.32499999999999996,0.3,0.35,2.362263,0.017561,-0.017561,0.048109,-0.048109,3.6%,-3.6%
0.375,0.35,0.4,2.005345,0.015952,-0.015952,0.040615,-0.040615,3.6%,-3.6%
0.42500000000000004,0.4,0.45,1.663289,0.014239,-0.014239,0.033297,-0.033297,3.6%,-3.6%
0.475,0.45,0.5,1.412473,0.013051,-0.013051,0.029966,-0.029966,3.6%,-3.6%
0.525,0.5,0.55,1.235371,0.01227,-0.01227,0.020852,-0.020852,3.6%,-3.6%
0.575,0.55,0.6,1.00173,0.010865,-0.010865,0.017897,-0.017897,3.6%,-3.6%
0.625,0.6,0.65,0.82576,0.009732,-0.009732,0.014441,-0.014441,3.6%,-3.6%
0.675,0.65,0.7,0.697456,0.010077,-0.010077,0.023033,-0.023033,3.6%,-3.6%
0.725,0.7,0.75,0.616081,0.009482,-0.009482,0.020305,-0.020305,3.6%,-3.6%
0.775,0.75,0.8,0.504638,0.008571,-0.008571,0.0167,-0.0167,3.6%,-3.6%
0.825,0.8,0.85,0.40602,0.007629,-0.007629,0.013316,-0.013316,3.6%,-3.6%
0.875,0.85,0.9,0.350737,0.007099,-0.007099,0.011571,-0.011571,3.6%,-3.6%
0.925,0.9,0.95,0.299044,0.006588,-0.006588,0.00985,-0.00985,3.6%,-3.6%
0.975,0.95,1.0,0.258118,0.006106,-0.006106,0.008538,-0.008538,3.6%,-3.6%
