#: table_doi: 10.17182/hepdata.59366.v1/t2
#: name: Table 2
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI-, K- and PBAR)  and  at a centre-of-mass energy of 900 GeV.

#: data_file: Table2.yaml
#: keyword reactions: P P --> PI- X | P P --> K- X | P P --> PBAR X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 900.0
#: ABS(YRAP),< 1
#: RE,P P --> PI- X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,2.952,0.002,-0.002,0.271,-0.271,3.0%,-3.0%
0.175,3.704,0.002,-0.002,0.124,-0.124,3.0%,-3.0%
0.225,3.768,0.002,-0.002,0.092,-0.092,3.0%,-3.0%
0.275,3.43,0.002,-0.002,0.073,-0.073,3.0%,-3.0%
0.325,2.989,0.002,-0.002,0.061,-0.061,3.0%,-3.0%
0.375,2.546,0.001,-0.001,0.052,-0.052,3.0%,-3.0%
0.425,2.157,0.001,-0.001,0.044,-0.044,3.0%,-3.0%
0.475,1.808,0.001,-0.001,0.037,-0.037,3.0%,-3.0%
0.525,1.519,0.001,-0.001,0.031,-0.031,3.0%,-3.0%
0.575,1.271,0.001,-0.001,0.026,-0.026,3.0%,-3.0%
0.625,1.068,0.001,-0.001,0.022,-0.022,3.0%,-3.0%
0.675,0.8984,0.001,-0.001,0.0186,-0.0186,3.0%,-3.0%
0.725,0.7608,0.0009,-0.0009,0.0161,-0.0161,3.0%,-3.0%
0.775,0.6457,0.0009,-0.0009,0.0142,-0.0142,3.0%,-3.0%
0.825,0.5527,0.0009,-0.0009,0.0125,-0.0125,3.0%,-3.0%
0.875,0.4681,0.0009,-0.0009,0.0108,-0.0108,3.0%,-3.0%
0.925,0.3991,0.0009,-0.0009,0.0097,-0.0097,3.0%,-3.0%
0.975,0.3386,0.0009,-0.0009,0.0093,-0.0093,3.0%,-3.0%
1.025,0.2913,0.0009,-0.0009,0.0086,-0.0086,3.0%,-3.0%
1.075,0.2646,0.001,-0.001,0.0087,-0.0087,3.0%,-3.0%
1.125,0.2335,0.0011,-0.0011,0.0091,-0.0091,3.0%,-3.0%
1.175,0.2064,0.0016,-0.0016,0.0081,-0.0081,3.0%,-3.0%
1.225,-,0,0,0,0,0,0
1.275,-,0,0,0,0,0,0
1.325,-,0,0,0,0,0,0
1.375,-,0,0,0,0,0,0
1.425,-,0,0,0,0,0,0
1.475,-,0,0,0,0,0,0
1.525,-,0,0,0,0,0,0
1.575,-,0,0,0,0,0,0
1.625,-,0,0,0,0,0,0
1.675,-,0,0,0,0,0,0

#: ABS(YRAP),< 1
#: RE,P P --> K- X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,-,0,0,0,0,0,0
0.175,-,0,0,0,0,0,0
0.225,0.2522,0.0007,-0.0007,0.0121,-0.0121,3.0%,-3.0%
0.275,0.2768,0.0007,-0.0007,0.0086,-0.0086,3.0%,-3.0%
0.325,0.2885,0.0006,-0.0006,0.0075,-0.0075,3.0%,-3.0%
0.375,0.2834,0.0006,-0.0006,0.0065,-0.0065,3.0%,-3.0%
0.425,0.2743,0.0005,-0.0005,0.0059,-0.0059,3.0%,-3.0%
0.475,0.2596,0.0005,-0.0005,0.0056,-0.0056,3.0%,-3.0%
0.525,0.2425,0.0005,-0.0005,0.0055,-0.0055,3.0%,-3.0%
0.575,0.2246,0.0005,-0.0005,0.0052,-0.0052,3.0%,-3.0%
0.625,0.2043,0.0005,-0.0005,0.0048,-0.0048,3.0%,-3.0%
0.675,0.1853,0.0005,-0.0005,0.0047,-0.0047,3.0%,-3.0%
