#: table_doi: 10.17182/hepdata.59366.v1/t1
#: name: Table 1
#: description: Measured transverse momentum distributions of identified charged hadrons  (PI+, K+ and P)  and  at a centre-of-mass energy of 900 GeV.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> K+ X | P P --> P X
#: keyword observables: DN/DPT
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering | Strange production
#: keyword cmenergies: 900.0
#: ABS(YRAP),< 1
#: RE,P P --> PI+ X
#: SQRT(S) [GeV],900.0
PT [GEV],(1/Nev)*D2(N)/DYRAP/DPT [GEV**-1],stat +,stat -,sys +,sys -,"sys,Overall Normalization +","sys,Overall Normalization -"
0.125,3.094,0.002,-0.002,0.269,-0.269,3.0%,-3.0%
0.175,3.861,0.002,-0.002,0.124,-0.124,3.0%,-3.0%
0.225,3.843,0.002,-0.002,0.092,-0.092,3.0%,-3.0%
0.275,3.494,0.002,-0.002,0.076,-0.076,3.0%,-3.0%
0.325,3.023,0.002,-0.002,0.063,-0.063,3.0%,-3.0%
0.375,2.584,0.001,-0.001,0.053,-0.053,3.0%,-3.0%
0.425,2.187,0.001,-0.001,0.044,-0.044,3.0%,-3.0%
0.475,1.836,0.001,-0.001,0.037,-0.037,3.0%,-3.0%
0.525,1.541,0.001,-0.001,0.031,-0.031,3.0%,-3.0%
0.575,1.293,0.001,-0.001,0.026,-0.026,3.0%,-3.0%
0.625,1.085,0.001,-0.001,0.022,-0.022,3.0%,-3.0%
0.675,0.9125,0.001,-0.001,0.0188,-0.0188,3.0%,-3.0%
0.725,0.77,0.0009,-0.0009,0.0163,-0.0163,3.0%,-3.0%
0.775,0.6521,0.0009,-0.0009,0.0145,-0.0145,3.0%,-3.0%
0.825,0.5514,0.0009,-0.0009,0.0126,-0.0126,3.0%,-3.0%
0.875,0.4708,0.0009,-0.0009,0.0111,-0.0111,3.0%,-3.0%
0.925,0.4042,0.0009,-0.0009,0.0101,-0.0101,3.0%,-3.0%
0.975,0.347,0.0009,-0.0009,0.01,-0.01,3.0%,-3.0%
1.025,0.3008,0.001,-0.001,0.0099,-0.0099,3.0%,-3.0%
1.075,0.2591,0.001,-0.001,0.0095,-0.0095,3.0%,-3.0%
1.125,0.2201,0.0012,-0.0012,0.0094,-0.0094,3.0%,-3.0%
