#: table_doi: 10.17182/hepdata.57021.v1/t1
#: name: Table 1
#: description: Invariant cross sections for inclusive PI+ and PI- production  in P P collisions at a centre-of-mass energy of 200 GeV. There is an additional normalization uncertainty of 9.7 PCT.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X
#: keyword observables: E*D3SIG/DP**3
#: keyword plabs: 21322,21322
#: keyword phrases: Inclusive | Invariant Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 200.0
#: RE,,,P P --> PI+ X
#: SQRT(S) [GeV],,,200.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,E*D3(SIG)/DP**3 [MB/GEV**2],stat +,stat -,sys +,sys -
0.35,0.3,0.4,27.7,0.3,-0.3,1.9,-1.9
0.45,0.4,0.5,14.5,0.1,-0.1,1.0,-1.0
0.55,0.5,0.6,7.76,0.09,-0.09,0.54,-0.54
0.6499999999999999,0.6,0.7,4.39,0.05,-0.05,0.31,-0.31
0.75,0.7,0.8,2.65,0.03,-0.03,0.19,-0.19
0.8500000000000001,0.8,0.9,1.59,0.02,-0.02,0.11,-0.11
0.95,0.9,1.0,1.01,0.01,-0.01,0.07,-0.07
1.05,1.0,1.1,0.645,0.011,-0.011,0.045,-0.045
1.15,1.1,1.2,0.418,0.007,-0.007,0.029,-0.029
1.25,1.2,1.3,0.276,0.005,-0.005,0.019,-0.019
1.35,1.3,1.4,0.188,0.004,-0.004,0.013,-0.013
1.45,1.4,1.5,0.129,0.003,-0.003,0.009,-0.009
1.55,1.5,1.6,0.0907,0.0019,-0.0019,0.0064,-0.0064
1.65,1.6,1.7,0.0652,0.0014,-0.0014,0.0046,-0.0046
1.75,1.7,1.8,0.0448,0.001,-0.001,0.0031,-0.0031
1.85,1.8,1.9,0.0345,0.0008,-0.0008,0.0024,-0.0024
1.95,1.9,2.0,0.0249,0.0006,-0.0006,0.0017,-0.0017
2.05,2.0,2.1,0.0183,0.0005,-0.0005,0.0013,-0.0013
2.1500000000000004,2.1,2.2,0.0137,0.0004,-0.0004,0.001,-0.001
2.25,2.2,2.3,0.0113,0.0003,-0.0003,0.0008,-0.0008
2.3499999999999996,2.3,2.4,0.00821,0.00028,-0.00028,0.00057,-0.00057
2.45,2.4,2.5,0.00673,0.00025,-0.00025,0.00047,-0.00047
2.55,2.5,2.6,0.00539,0.00023,-0.00023,0.00038,-0.00038
2.6500000000000004,2.6,2.7,0.00427,0.0002,-0.0002,0.0003,-0.0003
2.75,2.7,2.8,0.00302,0.00016,-0.00016,0.00021,-0.00021
2.8499999999999996,2.8,2.9,0.00245,0.00014,-0.00014,0.00017,-0.00017
2.95,2.9,3.0,0.00182,0.00012,-0.00012,0.00013,-0.00013

#: RE,,,P P --> PI- X
#: SQRT(S) [GeV],,,200.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,E*D3(SIG)/DP**3 [MB/GEV**2],stat +,stat -,sys +,sys -
0.35,0.3,0.4,26.3,0.4,-0.4,1.8,-1.8
0.45,0.4,0.5,14.0,0.2,-0.2,1.0,-1.0
0.55,0.5,0.6,7.91,0.12,-0.12,0.55,-0.55
0.6499999999999999,0.6,0.7,4.44,0.07,-0.07,0.31,-0.31
0.75,0.7,0.8,2.69,0.05,-0.05,0.19,-0.19
0.8500000000000001,0.8,0.9,1.6,0.03,-0.03,0.11,-0.11
0.95,0.9,1.0,0.983,0.019,-0.019,0.069,-0.069
1.05,1.0,1.1,0.63,0.013,-0.013,0.044,-0.044
1.15,1.1,1.2,0.436,0.009,-0.009,0.031,-0.031
1.25,1.2,1.3,0.279,0.006,-0.006,0.02,-0.02
1.35,1.3,1.4,0.19,0.004,-0.004,0.013,-0.013
1.45,1.4,1.5,0.129,0.003,-0.003,0.009,-0.009
1.55,1.5,1.6,0.0905,0.0023,-0.0023,0.0063,-0.0063
1.65,1.6,1.7,0.0647,0.0017,-0.0017,0.0045,-0.0045
1.75,1.7,1.8,0.0469,0.0012,-0.0012,0.0033,-0.0033
1.85,1.8,1.9,0.034,0.0009,-0.0009,0.0024,-0.0024
1.95,1.9,2.0,0.0256,0.0007,-0.0007,0.0018,-0.0018
2.05,2.0,2.1,0.0181,0.0006,-0.0006,0.0013,-0.0013
2.1500000000000004,2.1,2.2,0.0133,0.0004,-0.0004,0.0009,-0.0009
2.25,2.2,2.3,0.0103,0.0004,-0.0004,0.0007,-0.0007
2.3499999999999996,2.3,2.4,0.00748,0.00028,-0.00028,0.00052,-0.00052
2.45,2.4,2.5,0.00634,0.00027,-0.00027,0.00044,-0.00044
2.55,2.5,2.6,0.00496,0.00023,-0.00023,0.00035,-0.00035
2.6500000000000004,2.6,2.7,0.00347,0.00018,-0.00018,0.00024,-0.00024
2.75,2.7,2.8,0.00282,0.00016,-0.00016,0.0002,-0.0002
2.8499999999999996,2.8,2.9,0.00223,0.00015,-0.00015,0.00016,-0.00016
2.95,2.9,3.0,0.00166,0.00012,-0.00012,0.00012,-0.00012

