#: table_doi: 10.17182/hepdata.71403.v1/t1
#: name: Table 1
#: description: Invariant cross section for $\pi^+$ and $\pi^-$ hadrons, as well as the statistical and systematic uncertainties.  In addition, there is an absolute scale uncertainty of 9.6$\%$.

#: data_file: Table1.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X
#: keyword observables: E*D3SIG/DP**3 | DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Invariant Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering
#: keyword cmenergies: 200.0
#: ABS(ETARAP),,,< 0.35
#: RE,,,P P --> PI+ X
#: SQRT(S) [GeV],,,200.0
$p_T$ [GeV/$c$],$p_T$ [GeV/$c$] LOW,$p_T$ [GeV/$c$] HIGH,$E*\frac{d^3\sigma}{dp^3}$ [$mb/GeV^2$],stat +,stat -,sys +,sys -
5.39,5.0,6.0,1.75e-05,5e-07,-5e-07,2.4e-06,-2.4e-06
6.39,6.0,7.0,5.01e-06,1.5e-07,-1.5e-07,3.3e-07,-3.3e-07
7.41,7.0,8.0,1.56e-06,7e-08,-7e-08,1e-07,-1e-07
8.44,8.0,9.0,6.19e-07,3.9e-08,-3.9e-08,4e-08,-4e-08
9.71,9.0,11.0,2.14e-07,1.6e-08,-1.6e-08,1.4e-08,-1.4e-08
11.7,11.0,13.0,4.83e-08,7.1e-09,-7.1e-09,3.8e-09,-3.8e-09

#: ABS(ETARAP),,,< 0.35
#: RE,,,P P --> PI- X
#: SQRT(S) [GeV],,,200.0
$p_T$ [GeV/$c$],$p_T$ [GeV/$c$] LOW,$p_T$ [GeV/$c$] HIGH,$E*\frac{d^3\sigma}{dp^3}$ [$mb/GeV^2$],stat +,stat -,sys +,sys -
5.39,5.0,6.0,1.49e-05,4e-07,-4e-07,2e-06,-2e-06
6.39,6.0,7.0,4.3e-06,1.3e-07,-1.3e-07,2.9e-07,-2.9e-07
7.41,7.0,8.0,1.283e-06,6e-08,-6e-08,8e-08,-8e-08
8.44,8.0,9.0,4.94e-07,3.5e-08,-3.5e-08,3.2e-08,-3.2e-08
9.71,9.0,11.0,1.57e-07,1.3e-08,-1.3e-08,1e-08,-1e-08
11.7,11.0,13.0,3.57e-08,6e-09,-6e-09,2.8e-09,-2.8e-09

