#: table_doi: 10.17182/hepdata.57021.v1/t5
#: name: Table 5
#: description: Invariant cross sections for inclusive PI+ and PI- production  in P P collisions at a centre-of-mass energy of 62.4 GeV. There is an additional normalization uncertainty of 11 PCT.

#: data_file: Table5.yaml
#: keyword reactions: P P --> PI+ X | P P --> PI- X
#: keyword observables: E*D3SIG/DP**3
#: keyword plabs: 2076,2076
#: keyword phrases: Inclusive | Invariant Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 62.4
#: RE,,,P P --> PI+ X
#: SQRT(S) [GeV],,,62.4
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,E*D3(SIG)/DP**3 [MB/GEV**2],stat +,stat -,sys +,sys -
0.35,0.3,0.4,19.6,0.2,-0.2,1.4,-1.4
0.45,0.4,0.5,10.7,0.1,-0.1,0.8,-0.8
0.55,0.5,0.6,5.95,0.06,-0.06,0.42,-0.42
0.6499999999999999,0.6,0.7,3.38,0.04,-0.04,0.24,-0.24
0.75,0.7,0.8,1.91,0.02,-0.02,0.13,-0.13
0.8500000000000001,0.8,0.9,1.13,0.02,-0.02,0.08,-0.08
0.95,0.9,1.0,0.686,0.01,-0.01,0.048,-0.048
1.05,1.0,1.1,0.43,0.007,-0.007,0.03,-0.03
1.15,1.1,1.2,0.265,0.005,-0.005,0.019,-0.019
1.25,1.2,1.3,0.166,0.004,-0.004,0.012,-0.012
1.35,1.3,1.4,0.108,0.003,-0.003,0.007,-0.007
1.45,1.4,1.5,0.072,0.0019,-0.0019,0.005,-0.005
1.55,1.5,1.6,0.0504,0.0015,-0.0015,0.0035,-0.0035
1.65,1.6,1.7,0.0348,0.0012,-0.0012,0.0024,-0.0024
1.75,1.7,1.8,0.0233,0.0009,-0.0009,0.0016,-0.0016
1.85,1.8,1.9,0.0158,0.0008,-0.0008,0.0011,-0.0011
1.95,1.9,2.0,0.0111,0.0007,-0.0007,0.0008,-0.0008
2.05,2.0,2.1,0.00713,0.00052,-0.00052,0.0005,-0.0005
2.1500000000000004,2.1,2.2,0.00563,0.0005,-0.0005,0.0004,-0.0004
2.25,2.2,2.3,0.00422,0.00043,-0.00043,0.0003,-0.0003
2.3499999999999996,2.3,2.4,0.00269,0.00037,-0.00037,0.00019,-0.00019
2.45,2.4,2.5,0.00196,0.00031,-0.00031,0.00014,-0.00014
2.55,2.5,2.6,0.00145,0.00033,-0.00033,0.00011,-0.00011
2.6500000000000004,2.6,2.7,0.000907,0.00022,-0.00022,7e-05,-7e-05
2.75,2.7,2.8,0.00109,0.0003,-0.0003,9e-05,-9e-05
2.8499999999999996,2.8,2.9,0.000648,0.00023,-0.00023,5.3e-05,-5.3e-05

#: RE,,,P P --> PI- X
#: SQRT(S) [GeV],,,62.4
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,E*D3(SIG)/DP**3 [MB/GEV**2],stat +,stat -,sys +,sys -
0.35,0.3,0.4,20.8,0.1,-0.1,1.3,-1.3
0.45,0.4,0.5,11.2,0.1,-0.1,0.7,-0.7
0.55,0.5,0.6,5.94,0.05,-0.05,0.36,-0.36
0.6499999999999999,0.6,0.7,3.25,0.03,-0.03,0.19,-0.19
0.75,0.7,0.8,1.92,0.02,-0.02,0.12,-0.12
0.8500000000000001,0.8,0.9,1.15,0.01,-0.01,0.07,-0.07
0.95,0.9,1.0,0.668,0.008,-0.008,0.04,-0.04
1.05,1.0,1.1,0.406,0.006,-0.006,0.024,-0.024
1.15,1.1,1.2,0.253,0.004,-0.004,0.015,-0.015
1.25,1.2,1.3,0.16,0.003,-0.003,0.01,-0.01
1.35,1.3,1.4,0.103,0.002,-0.002,0.006,-0.006
1.45,1.4,1.5,0.0674,0.0016,-0.0016,0.004,-0.004
1.55,1.5,1.6,0.0454,0.0012,-0.0012,0.0027,-0.0027
1.65,1.6,1.7,0.0307,0.001,-0.001,0.0018,-0.0018
1.75,1.7,1.8,0.0225,0.0008,-0.0008,0.0014,-0.0014
1.85,1.8,1.9,0.0155,0.0007,-0.0007,0.0009,-0.0009
1.95,1.9,2.0,0.00963,0.00052,-0.00052,0.00058,-0.00058
2.05,2.0,2.1,0.00723,0.00047,-0.00047,0.00043,-0.00043
2.1500000000000004,2.1,2.2,0.00472,0.00039,-0.00039,0.00029,-0.00029
2.25,2.2,2.3,0.00332,0.00034,-0.00034,0.0002,-0.0002
2.3499999999999996,2.3,2.4,0.00267,0.00033,-0.00033,0.00017,-0.00017
2.45,2.4,2.5,0.00175,0.00029,-0.00029,0.00011,-0.00011
2.55,2.5,2.6,0.00149,0.00027,-0.00027,0.0001,-0.0001
2.6500000000000004,2.6,2.7,0.00107,0.00025,-0.00025,7e-05,-7e-05
2.75,2.7,2.8,0.000762,0.00025,-0.00025,5.4e-05,-5.4e-05
2.8499999999999996,2.8,2.9,0.00051,0.0002,-0.0002,3.7e-05,-3.7e-05

