ALICE_2760a_PI0	4	5.81e+00	8.02e+00        		      1.45	      2.00		    138.05
ALICE_2760b_PI0	15	2.29e+01	1.46e+01        		      1.53	      0.97		     63.75
ALICE_7000_PI0	11	2.66e+01	2.05e+01        		      2.42	      1.87		     77.12
ALICE_8000_PI0	22	3.34e+01	2.99e+01        		      1.52	      1.36		     89.43
PHENIX_200b_PIsum	6	4.47e+00	7.72e+00        		      0.75	      1.29		    172.49
PHENIX_200_PI0	9	5.04e+00	6.07e+00        		      0.56	      0.67		    120.45
PHENIX_510_PI0	20	1.51e+01	9.66e+00        		      0.75	      0.48		     64.13
STAR_200a_PI0	7	6.83e+00	4.49e+00        		      0.98	      0.64		     65.75
STAR_200b_PI0	7	9.67e+00	1.17e+01        		      1.38	      1.68		    121.50
total 	101129.83	112.72		1.29	1.12		86.82
